日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,d-10,d-9,d-8,d-7,d-6,d-5,d-4,d-3,d-2,d-1,5日均,10日均,20日均,30日均,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10
2021-08-24,301050,270.0,282.09,292.8,255.0,137940,3745148720.0,62.34,365.19,221.45,74.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,282.09,282.09,282.09,282.09,5.92,3.78,0.32,5.28,4.72,3.15,9.01,7.44,1.31,0.28
2021-08-25,301050,287.99,287.9,298.8,277.5,76165,2194427840.0,7.55,2.06,5.81,41.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.51,285.0,285.0,285.0,285.0,1.68,-1.7,3.16,2.61,1.07,6.81,5.27,-0.74,-1.74,-4.83
2021-08-26,301050,286.89,264.97,292.74,259.5,61045,1668652784.0,11.55,-7.96,-22.93,33.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.83,15.14,278.32,278.32,278.32,278.32,6.8,12.08,11.48,9.81,16.05,14.38,7.85,6.76,3.41,2.6
2021-08-27,301050,260.0,271.3,283.0,258.5,45945,1251092464.0,9.25,2.39,6.33,24.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.27,15.59,13.25,276.56,276.56,276.56,276.56,9.47,8.88,7.25,13.34,11.71,5.34,4.27,1.0,0.21,-4.32
2021-08-30,301050,264.0,292.59,296.99,257.5,43358,1223512416.0,14.56,7.85,21.29,23.55,0.0,0.0,0.0,0.0,0.0,0.0,13.71,16.04,13.69,9.9,279.77,279.77,279.77,279.77,0.96,-0.55,5.1,3.59,-2.33,-3.32,-6.35,-7.08,-11.28,-12.92
2021-08-31,301050,288.82,276.6,295.4,272.12,30681,867866448.0,7.96,-5.46,-15.99,16.66,0.0,0.0,0.0,0.0,0.0,7.6,9.8,7.58,4.0,9.14,278.67,279.24,279.24,279.24,5.2,11.17,9.57,3.32,2.27,-0.94,-1.71,-6.15,-7.89,-8.17
2021-09-01,301050,279.9,279.0,290.97,264.11,30056,833938496.0,9.71,0.87,2.4,16.32,0.0,0.0,0.0,0.0,10.86,13.13,10.84,7.15,12.45,11.85,276.89,279.21,279.21,279.21,10.22,8.63,2.43,1.39,-1.79,-2.56,-6.96,-8.68,-8.96,-8.97
2021-09-02,301050,279.18,296.4,307.5,275.0,27508,798325216.0,11.65,6.24,17.4,14.94,0.0,0.0,0.0,6.47,8.65,6.45,2.91,8.0,7.42,5.81,283.18,281.36,281.36,281.36,2.25,-3.58,-4.56,-7.56,-8.28,-12.42,-14.04,-14.3,-14.31,-14.64
2021-09-03,301050,294.8,280.98,303.08,275.15,21967,631687520.0,9.42,-5.2,-15.42,11.93,0.0,0.0,6.41,8.6,6.39,2.85,7.94,7.36,5.75,11.76,285.11,281.31,281.31,281.31,1.71,0.68,-2.48,-3.25,-7.61,-9.32,-9.6,-9.61,-9.96,-8.98
2021-09-06,301050,275.88,281.2,285.78,274.01,13909,389711024.0,4.19,0.08,0.22,7.55,0.0,6.86,9.05,6.84,3.28,8.39,7.81,6.19,12.22,10.61,282.84,281.3,281.3,281.3,0.6,-2.56,-3.32,-7.68,-9.39,-9.67,-9.68,-10.03,-9.05,-12.89
2021-09-07,301050,278.18,272.81,282.88,270.1,15793,434104400.0,4.54,-2.98,-8.39,8.58,8.4,10.63,8.38,4.78,9.96,9.37,7.73,13.85,12.21,5.81,282.08,280.37,280.53,280.53,0.44,-0.35,-4.85,-6.61,-6.89,-6.9,-7.26,-6.26,-10.21,-11.66
2021-09-08,301050,269.05,272.7,274.0,263.0,14423,388131344.0,4.03,-0.04,-0.11,7.83,13.61,11.31,7.6,12.92,12.32,10.63,16.92,15.24,8.66,7.56,280.82,278.85,279.88,279.88,-0.31,-4.81,-6.57,-6.86,-6.86,-7.22,-6.22,-10.17,-11.63,-13.14
